Date,Price
31-01-2013,434.186
28-02-2013,437.06
31-03-2013,437.866
30-04-2013,455.865
31-05-2013,434.714
30-06-2013,427.928
31-07-2013,425.268
31-08-2013,419.641
30-09-2013,436.11
31-10-2013,437.802
30-11-2013,431.796
31-12-2013,436.659
31-01-2014,422.5
28-02-2014,432.817
31-03-2014,440.558
30-04-2014,441.979
31-05-2014,447.126
30-06-2014,451.381
31-07-2014,455.973
31-08-2014,468.93
30-09-2014,461.375
31-10-2014,477.112
30-11-2014,488.553
31-12-2014,480.972
31-01-2015,512.187
28-02-2015,498.011
31-03-2015,495.373
30-04-2015,492.946
31-05-2015,489.391
30-06-2015,488.431
31-07-2015,493.521
31-08-2015,494.202
30-09-2015,493.836
31-10-2015,500.346
30-11-2015,495.119
31-12-2015,462.071
31-01-2016,483.441
29-02-2016,479.73
31-03-2016,492.341
30-04-2016,501.573
31-05-2016,494.083
30-06-2016,514.026
31-07-2016,525.506
31-08-2016,516.224
30-09-2016,531.61
31-10-2016,535.017
30-11-2016,525.233
31-12-2016,533.467
31-01-2017,540.586
28-02-2017,544.434
31-03-2017,546.603
30-04-2017,554.621
31-05-2017,560.066
30-06-2017,554.769
31-07-2017,563.11
31-08-2017,568.893
30-09-2017,575.189
31-10-2017,561.958
30-11-2017,556.492
31-12-2017,587.965
31-01-2018,598.896
28-02-2018,622.439
31-03-2018,635.329
30-04-2018,630.866
31-05-2018,618.533
30-06-2018,611.297
31-07-2018,626.081
31-08-2018,614.402
30-09-2018,616.243
31-10-2018,605.718
30-11-2018,629.135
31-12-2018,633.152
31-01-2019,651.525
28-02-2019,648.654
31-03-2019,657.292
30-04-2019,662.219
31-05-2019,666.447
30-06-2019,681.604
31-07-2019,676.534
31-08-2019,683.143
30-09-2019,686.614
31-10-2019,684.214
30-11-2019,685.731
31-12-2019,698.502
31-01-2020,706.786
29-02-2020,706.477
31-03-2020,637.615
30-04-2020,662.598
31-05-2020,709.406
30-06-2020,701.011
31-07-2020,705.277
31-08-2020,711.549
30-09-2020,711.21
31-10-2020,717.532
30-11-2020,740.88
31-12-2020,758.955
31-01-2021,764.742
28-02-2021,765.193
31-03-2021,745.748
30-04-2021,759.889
31-05-2021,788.254
30-06-2021,796.871
31-07-2021,803.451
31-08-2021,817.119
30-09-2021,799.806
31-10-2021,795.943
30-11-2021,801.185
31-12-2021,822.722
31-01-2022,829.696
28-02-2022,834.209
31-03-2022,837.985
30-04-2022,823.982
31-05-2022,832.319
30-06-2022,806.856
31-07-2022,826.341
