Date,Price
31-01-2013,115.55
28-02-2013,111.38
29-03-2013,110.02
30-04-2013,102.37
31-05-2013,100.39
28-06-2013,102.16
31-07-2013,107.7
30-08-2013,114.01
30-09-2013,108.37
31-10-2013,108.84
29-11-2013,109.69
31-12-2013,110.8
31-01-2014,106.4
28-02-2014,109.07
31-03-2014,107.76
30-04-2014,108.07
30-05-2014,109.41
30-06-2014,112.36
31-07-2014,106.02
29-08-2014,103.19
30-09-2014,94.67
31-10-2014,85.86
28-11-2014,70.15
31-12-2014,57.33
30-01-2015,52.99
27-02-2015,62.58
31-03-2015,55.11
30-04-2015,66.78
29-05-2015,65.56
30-06-2015,63.59
31-07-2015,52.21
31-08-2015,54.15
30-09-2015,48.37
30-10-2015,49.56
30-11-2015,44.61
31-12-2015,37.28
29-01-2016,34.74
29-02-2016,35.97
31-03-2016,39.6
29-04-2016,48.13
31-05-2016,49.69
30-06-2016,49.68
29-07-2016,42.46
31-08-2016,47.04
30-09-2016,49.06
31-10-2016,48.3
30-11-2016,50.47
30-12-2016,56.82
31-01-2017,55.7
28-02-2017,55.59
31-03-2017,52.83
28-04-2017,51.73
31-05-2017,50.31
30-06-2017,47.92
31-07-2017,52.65
31-08-2017,52.38
29-09-2017,57.54
31-10-2017,61.37
30-11-2017,63.57
29-12-2017,66.87
31-01-2018,69.05
28-02-2018,65.78
30-03-2018,70.27
30-04-2018,75.17
31-05-2018,77.59
29-06-2018,79.44
31-07-2018,74.25
31-08-2018,77.42
28-09-2018,82.72
31-10-2018,75.47
30-11-2018,58.71
31-12-2018,53.8
31-01-2019,61.89
28-02-2019,66.03
29-03-2019,68.39
30-04-2019,72.8
31-05-2019,64.49
28-06-2019,66.55
31-07-2019,65.17
30-08-2019,60.43
30-09-2019,60.78
31-10-2019,60.23
29-11-2019,62.43
31-12-2019,66
31-01-2020,58.16
28-02-2020,50.52
31-03-2020,22.74
30-04-2020,25.27
29-05-2020,35.33
30-06-2020,41.15
31-07-2020,43.3
31-08-2020,45.28
30-09-2020,40.95
30-10-2020,37.46
30-11-2020,47.59
31-12-2020,51.8
29-01-2021,55.88
26-02-2021,66.13
31-03-2021,63.54
30-04-2021,67.25
31-05-2021,69.32
30-06-2021,75.13
30-07-2021,76.33
31-08-2021,72.99
30-09-2021,78.52
29-10-2021,84.38
30-11-2021,70.57
31-12-2021,77.78
