Date,Price
31-01-2013,5.4
28-02-2013,5.9
31-03-2013,5.9
30-04-2013,5.9
31-05-2013,5.6
30-06-2013,5.5
31-07-2013,6.3
31-08-2013,6.4
30-09-2013,6
31-10-2013,5.5
30-11-2013,5.3
31-12-2013,5.4
31-01-2014,5.8
28-02-2014,5.9
31-03-2014,6
30-04-2014,6.1
31-05-2014,6.6
30-06-2014,6.6
31-07-2014,6.3
31-08-2014,6.4
30-09-2014,5.9
31-10-2014,5.9
30-11-2014,5.8
31-12-2014,5.3
31-01-2015,4.4
28-02-2015,3.9
31-03-2015,4
30-04-2015,4.5
31-05-2015,4.6
30-06-2015,4.7
31-07-2015,5
31-08-2015,4.6
30-09-2015,4.6
31-10-2015,4.7
30-11-2015,4.8
31-12-2015,5.2
31-01-2016,6.2
29-02-2016,7
31-03-2016,6.3
30-04-2016,6.2
31-05-2016,6.1
30-06-2016,6.3
31-07-2016,6
31-08-2016,5.9
30-09-2016,6.1
31-10-2016,6.4
30-11-2016,6.6
31-12-2016,6.8
31-01-2017,6.6
28-02-2017,6.3
31-03-2017,6.1
30-04-2017,5.3
31-05-2017,5.4
30-06-2017,5.1
31-07-2017,4.6
31-08-2017,4.8
30-09-2017,5.1
31-10-2017,4.8
30-11-2017,4.6
31-12-2017,4.7
31-01-2018,4.4
28-02-2018,4
31-03-2018,3.8
30-04-2018,4.5
31-05-2018,4.4
30-06-2018,4.6
31-07-2018,5.1
31-08-2018,4.9
30-09-2018,4.9
31-10-2018,5.1
30-11-2018,5.2
31-12-2018,4.5
31-01-2019,4
28-02-2019,4.1
31-03-2019,4.5
30-04-2019,4.4
31-05-2019,4.5
30-06-2019,4.5
31-07-2019,4
31-08-2019,4.3
30-09-2019,4.1
31-10-2019,3.7
30-11-2019,3.6
31-12-2019,4
31-01-2020,4.5
29-02-2020,4.6
31-03-2020,4.1
30-04-2020,3
31-05-2020,2.1
30-06-2020,2.2
31-07-2020,3.2
31-08-2020,3.1
30-09-2020,3
31-10-2020,3.3
30-11-2020,3.2
31-12-2020,3.1
31-01-2021,3.2
28-02-2021,2.9
31-03-2021,3.2
30-04-2021,4.4
31-05-2021,5.2
30-06-2021,4.9
31-07-2021,4.6
31-08-2021,4.9
30-09-2021,5
31-10-2021,5
30-11-2021,5.5
31-12-2021,5.9
31-01-2022,5.7
28-02-2022,5.7
31-03-2022,5.9
30-04-2022,5.9
31-05-2022,6.5
30-06-2022,7.4
