Date,Food and Nonalcoholic Beverages,Food,Processed Food,Unprocessed Food,Bread and Cereals,Meat,Fish,"Milk, Cheese and Eggs",Fats and Oils,Fruit,Vegetables,"Sugar, Sweets and Desserts",Other foods,Nonalcoholic Beverages,Hot Beverages,Cold Beverages,Alcoholic beverages and tobacco,Alcoholic Beverages,Spirits,Wine,Beer,Tobacco,Clothing and Footwear,Clothing,Footwear,Housing & Household Utilities,Actual Rentals for Housing,Actual Rentals - Flats,Actual Rentals - Houses,Actual Rentals - Town Houses,Owners Equivalent Rent of Residences,Owners Equivalent Rent - Houses,Owners Equivalent Rent - Flats,Owners Equivalent Rent - Town Houses,Household Maintenance and Repair,Water and Other Services,"Electricity, Gas and Other Fuels",Household Contents & Services,"Furnishings, Floor Coverings and Textiles","Household Appliances, Tableware and Equipment",Supplies and Services,Domestic Workers Wages,Health,Health Including Medical Insurance,"Medical Products, Appliances and Equipment",Medical Services and Paramedical Services,Doctors,Dentists,Hospital Services,Transport,Purchase of Vehicles,New Vehicles,Used Vehicles,Private Transportation,Petroleum,Other Running Costs,Public Transportation,Communications,Postal and Telecommunication Services,Telecommunication,Recreation and Culture,Recreational Equipment,Recreation and Culture Services,"Newspapers, Books and Stationery",Package Holidays,Education,Education Including Boarding Fees,Primary and Secondary Education,Tertiary Education,University Boarding Fees,Restaurants and Hotels,Restaurants,Hotels,Miscellaneous Goods and Services,Personal Care,Insurance,Medical Insurance,Financial Services n.e.c.,Other Services n.e.c.
31-01-2013,6.1,6.6,7.1,5.9,7,3.1,7,9.9,4.1,0.3,12.3,5.9,8.9,4.7,4.4,4.5,7.1,8.8,9.4,6.3,9.9,5,3.2,3.1,3.1,6.1,4.9,5.6,4.3,4.7,4.2,4,5.6,4.7,7.9,9.2,10.4,3.1,-0.7,3.2,5.4,5.6,5.4,8.5,3.7,6.3,6.9,6.3,4.8,5.1,-0.4,2.4,-11.1,10,11.8,3.9,16.2,0,0.4,-6.7,2.9,1.1,3.2,5.3,--,9,9.2,8.5,9.8,9.7,7.5,7.3,8.3,4.9,8.5,5,9.5,9.1,4.3
28-02-2013,6.1,6.3,6.9,6,5.3,3.4,6.4,8.8,4.8,4.9,13.5,7.7,8,4.2,4.9,4,7.8,9.7,8.5,5.6,11.8,5.2,3.2,3.3,2.7,6.1,4.9,5.6,4.3,4.7,4.2,4,5.6,4.7,6.3,9.2,10.1,3.3,-0.7,3,5.7,5.6,4.1,9.5,3.3,6.1,6.1,5.4,4.5,5.5,-0.6,2.3,-11,10.1,11.9,4.2,15.9,0.1,0.6,-8.7,3.7,0.9,4.4,6.6,--,9,9.2,8.5,9.8,9.7,7.1,7.1,7.6,7.7,9.5,8.4,10.5,9.1,4.3
31-03-2013,5.7,5.8,6.5,5.4,4.8,4.7,6.7,7.6,4.8,5.8,11.2,6.3,6,3.2,1.7,3.6,5.8,6.3,6.6,4.7,6.4,4.3,2.8,3.1,2.7,5.8,4.7,5.3,4,5.1,4,4,5.7,5.1,6.4,9.2,10.3,3.1,-0.4,2,5.3,5.5,4.1,9.5,2.9,6.1,6.1,5.4,4.5,7.6,-0.3,2.4,-11,13.9,16.3,4.8,14.7,1,1.8,-9.8,4.5,2.1,4.4,7.6,--,9,9,9,8.9,9.6,6.1,6.6,5.5,7.4,9.5,8.6,10.5,5.6,4.3
30-04-2013,6.3,6.1,7.4,5.4,6,4.7,6.5,6.8,4.3,2.7,13.1,8.5,6.4,4.3,2.7,4.7,6.4,7,7.9,5.5,7,5,3.1,3.1,2.6,5.7,4.7,5.3,4,5.1,4,4,5.7,5.1,6.1,9.2,10.1,3.1,-0.4,2.3,5.6,5.5,4.9,9.3,3.9,6.3,6.3,5.4,4.8,6.2,0.1,2.6,-11,9.2,10.5,5.3,14.3,0.8,1.6,-10.1,3.9,1.6,4.7,6.3,--,9,9,9,8.9,9.6,5.9,6.2,5.5,7.4,9.3,8.5,10.2,5.5,4.6
31-05-2013,6.4,6.7,7.3,6.2,6.1,5.5,7.3,6.6,5.4,2,13,7.5,6.4,3,3.1,3.1,6.6,7,7.3,5,7.3,5,2.9,3.1,2.3,5.7,4.7,5.3,4,5.1,4,4,5.7,5.1,4.4,9.2,10.1,3,0.1,1.9,5,5.5,5,9.3,4.2,6.3,6.3,5.4,4.8,3.6,0.9,3.4,-10.8,2.3,1.8,4,13.9,0.9,1.7,-10.5,4.6,0.7,4.7,11.5,--,9,9,9,8.9,9.6,6,5.8,6.7,7.2,9.3,8.5,10.2,5.5,4.6
30-06-2013,6.8,6.9,7.7,6.2,6.3,5.5,7,6.7,5.4,6.1,12.8,7.8,7.3,4.1,4.1,4,6.4,6.5,6.1,5.7,7.1,5.2,2.9,3.1,2.6,5.8,4.9,5.5,4.3,5.9,4.4,4.2,5.6,5.9,3.6,9.2,10.1,3.1,-1.1,0.9,5.2,5.4,5,9.3,4.4,6.3,6.3,5.4,4.8,3.8,0.9,3.6,-10.8,5.5,6,4.7,7.4,1.5,2.3,-10.1,4.2,0.9,5,9.4,--,9,9,9,8.9,9.6,6,6.1,5.7,7.2,9.3,8.1,10.2,5.5,4.6
31-07-2013,6.8,7,7.6,6.6,7.3,5.7,5.6,6.9,3.6,4.6,13.3,6,6.8,3.3,3.6,3.2,7,7,7,5.8,7.5,6.8,3.1,3.2,2.3,5.5,4.9,5.5,4.3,5.9,4.4,4.2,5.6,5.9,3.4,8.5,8.2,3.1,-0.6,0.7,5.1,5.4,4.9,9.1,3.9,6.3,6.3,5.4,4.8,8.2,1.5,3.9,-10.9,18.6,22.6,4.1,6.9,1.8,2.5,-10.1,3.4,0.4,4.1,7.7,--,9,9,9,8.9,9.6,6.4,6.3,6.4,7.6,9.1,8.3,10.2,5.2,5.7
31-08-2013,7.1,7.4,8.3,6.6,8.4,4.9,7.5,7.2,4.4,4.6,13.3,7.9,6.3,4,4.8,3.5,6.5,6.7,6.8,4.5,7.8,6.2,3,3.4,2.7,5.3,4.9,5.5,4.3,5.9,4.4,4.2,5.6,5.9,4.4,7.9,7.8,3.1,-0.1,0.6,4.9,5.4,4.9,9.1,3.9,6.3,6.3,5.4,4.9,8.9,1.8,3.9,-10.8,19,23.1,4.2,6.9,2.1,2.8,-11.5,3.6,0.4,4.1,8.8,--,9,9,9,8.9,9.6,6.6,6.3,7.8,7.6,9.1,8.3,10.2,5.4,5.7
30-09-2013,5.8,6,7.4,4.7,8.1,1.1,6.7,8.3,5.3,8.5,12.1,6.6,5.2,5.2,6.5,4.8,6.7,7,7.3,5.6,7.3,5.9,3.1,3.5,2.5,5.5,4.8,5.3,4.3,5.9,4.5,4.3,5.7,5.7,4.3,7.9,7.8,3.7,0.1,1.6,6.2,5.8,4.7,9.3,3.4,6.3,6.3,5.4,4.9,6.9,2.2,4.7,-10.4,11.2,12.8,4.8,7,1.7,2.5,-12.2,3.6,0.8,3,9.3,--,9,9,9,8.9,9.6,7.2,6.6,8.5,7.8,9.3,8.6,10.2,5.4,5.7
31-10-2013,4.3,4.2,6.6,2,5.7,0,6.1,7.7,4.2,2.4,5.5,6,5.6,5.9,6.2,5.7,7.5,8.2,6.8,5.8,9.1,5.7,3.3,3.3,2.8,5.3,4.8,5.3,4.3,5.9,4.5,4.3,5.7,5.7,4.7,7.9,7.4,3.6,-0.4,1.9,5.7,5.8,4.9,9.3,3.6,6.3,6.3,5.4,4.9,6.4,3.2,5.1,-9.8,8.3,9.3,5,7,2.3,3.1,-13,2.5,0.2,3,3.7,--,9,9,9,8.9,9.6,7.1,6.4,9.1,7.2,9.3,8.6,10.2,5.4,2.8
