Date,Price
31-01-2013,122.10
28-02-2013,121.34
31-03-2013,121.60
30-04-2013,124.08
31-05-2013,126.58
30-06-2013,124.60
31-07-2013,122.61
31-08-2013,119.29
30-09-2013,115.61
31-10-2013,114.90
30-11-2013,115.96
31-12-2013,117.22
31-01-2014,117.76
28-02-2014,121.05
31-03-2014,128.10
30-04-2014,130.64
31-05-2014,125.38
30-06-2014,122.51
31-07-2014,119.79
31-08-2014,114.20
30-09-2014,112.03
31-10-2014,111.37
30-11-2014,111.11
31-12-2014,109.18
31-01-2015,104.54
28-02-2015,101.53
31-03-2015,98.95
30-04-2015,100.88
31-05-2015,100.77
30-06-2015,100.30
31-07-2015,100.16
31-08-2015,97.09
30-09-2015,96.29
31-10-2015,96.82
30-11-2015,92.77
31-12-2015,92.35
31-01-2016,92.32
29-02-2016,93.63
31-03-2016,97.08
30-04-2016,100.07
31-05-2016,101.44
30-06-2016,103.58
31-07-2016,103.88
31-08-2016,102.13
30-09-2016,101.71
31-10-2016,100.64
30-11-2016,101.20
31-12-2016,102.33
31-01-2017,106.54
28-02-2017,107.02
31-03-2017,103.44
30-04-2017,102.81
31-05-2017,105.22
30-06-2017,104.52
31-07-2017,106.86
31-08-2017,102.08
30-09-2017,100.85
31-10-2017,101.65
30-11-2017,102.29
31-12-2017,102.28
31-01-2018,105.82
28-02-2018,105.89
31-03-2018,106.91
30-04-2018,106.72
31-05-2018,108.36
30-06-2018,104.08
31-07-2018,101.33
31-08-2018,97.36
30-09-2018,98.63
31-10-2018,100.42
30-11-2018,95.86
31-12-2018,98.69
31-01-2019,100.47
28-02-2019,98.77
31-03-2019,98.06
30-04-2019,101.57
31-05-2019,98.09
30-06-2019,100.21
31-07-2019,100.27
31-08-2019,98.26
30-09-2019,96.05
31-10-2019,96.38
30-11-2019,100.28
31-12-2019,104.02
31-01-2020,105.40
29-02-2020,101.11
31-03-2020,97.20
30-04-2020,92.93
31-05-2020,96.52
30-06-2020,99.81
31-07-2020,97.64
31-08-2020,98.62
30-09-2020,100.00
31-10-2020,105.35
30-11-2020,108.42
31-12-2020,109.50
31-01-2021,116.40
28-02-2021,119.45
31-03-2021,122.23
30-04-2021,129.70
31-05-2021,135.20
30-06-2021,127.65
31-07-2021,128.97
31-08-2021,131.48
30-09-2021,127.02
31-10-2021,127.95
30-11-2021,129.71
31-12-2021,133.46
31-01-2022,139.89
28-02-2022,147.15
31-03-2022,157.59
30-04-2022,161.73
31-05-2022,158.50
30-06-2022,152.58
