Date,Price
31-01-2013,123.39
28-02-2013,123.25
31-03-2013,122.89
30-04-2013,122.87
31-05-2013,122.09
30-06-2013,120.92
31-07-2013,117.9
31-08-2013,116.15
30-09-2013,116.41
31-10-2013,118.75
30-11-2013,118.68
31-12-2013,118.2
31-01-2014,116.22
28-02-2014,118.47
31-03-2014,122.1
30-04-2014,121.46
31-05-2014,121.3
30-06-2014,119.29
31-07-2014,116.37
31-08-2014,113.02
30-09-2014,109.35
31-10-2014,109.36
30-11-2014,108.24
31-12-2014,105.15
31-01-2015,100.71
28-02-2015,98.45
31-03-2015,95.61
30-04-2015,94.7
31-05-2015,95.03
30-06-2015,94.54
31-07-2015,93.8
31-08-2015,89.56
30-09-2015,89.02
31-10-2015,90.37
30-11-2015,87.71
31-12-2015,87.06
31-01-2016,84.86
29-02-2016,86.05
31-03-2016,87.42
30-04-2016,89.18
31-05-2016,90.58
30-06-2016,93.84
31-07-2016,92.97
31-08-2016,95.29
30-09-2016,96.09
31-10-2016,95.93
30-11-2016,95.8
31-12-2016,95.09
31-01-2017,97.7
28-02-2017,98.12
31-03-2017,96.24
30-04-2017,95.14
31-05-2017,97.4
30-06-2017,97.97
31-07-2017,100.23
31-08-2017,99.34
30-09-2017,99.89
31-10-2017,98.91
30-11-2017,98.93
31-12-2017,96.41
31-01-2018,96.8
28-02-2018,97.88
31-03-2018,99.04
30-04-2018,98.56
31-05-2018,98.67
30-06-2018,96.95
31-07-2018,95.14
31-08-2018,95.97
30-09-2018,94.24
31-10-2018,93.31
30-11-2018,92.2
31-12-2018,92.25
31-01-2019,93.32
28-02-2019,94.01
31-03-2019,93.16
30-04-2019,93.61
31-05-2019,94.27
30-06-2019,95.4
31-07-2019,95.15
31-08-2019,94.08
30-09-2019,93.37
31-10-2019,95.25
30-11-2019,98.63
31-12-2019,101.01
31-01-2020,102.52
29-02-2020,99.42
31-03-2020,95.18
30-04-2020,92.53
31-05-2020,91.14
30-06-2020,93.26
31-07-2020,94.04
31-08-2020,95.92
30-09-2020,98.01
31-10-2020,101.38
30-11-2020,105.59
31-12-2020,108.6
31-01-2021,113.53
28-02-2021,116.57
31-03-2021,119.23
30-04-2021,122.07
31-05-2021,128.13
30-06-2021,125.28
31-07-2021,124.56
31-08-2021,127.96
30-09-2021,129.19
31-10-2021,133.22
30-11-2021,135.31
31-12-2021,133.69
31-01-2022,135.59
28-02-2022,141.07
31-03-2022,159.71
30-04-2022,158.44
31-05-2022,157.89
30-06-2022,154.26
31-07-2022,140.94
