Date,Price
31-01-2013,4964.47
28-02-2013,4870.45
29-03-2013,4928.63
30-04-2013,4805.7
31-05-2013,5214.73
28-06-2013,4917.61
31-07-2013,5134.34
30-08-2013,5266.66
30-09-2013,5534
31-10-2013,5733.98
29-11-2013,5670.89
31-12-2013,5840.09
31-01-2014,5702.3
28-02-2014,5980.81
31-03-2014,6090.43
30-04-2014,6251.89
30-05-2014,6351.82
30-06-2014,6527.53
31-07-2014,6587.92
29-08-2014,6557.71
30-09-2014,6388.59
31-10-2014,6452.81
28-11-2014,6487.85
31-12-2014,6475.35
30-01-2015,6674.85
27-02-2015,6946.4
31-03-2015,6853.85
30-04-2015,7175.88
29-05-2015,6892.16
30-06-2015,6840.02
31-07-2015,6875.76
31-08-2015,6631.39
30-09-2015,6694.61
30-10-2015,7204.18
30-11-2015,6926.21
31-12-2015,6807.38
29-01-2016,6604.11
29-02-2016,6643.16
31-03-2016,7070.92
29-04-2016,7190.89
31-05-2016,7322.95
30-06-2016,7101.74
29-07-2016,7184.25
31-08-2016,7203.48
30-09-2016,7135.68
31-10-2016,6957.94
30-11-2016,6919.33
30-12-2016,6986.33
31-01-2017,7287.34
28-02-2017,7060.65
31-03-2017,7250.08
28-04-2017,7514.33
31-05-2017,7482.47
30-06-2017,7221.62
31-07-2017,7729.54
31-08-2017,7934.04
29-09-2017,7864.89
31-10-2017,8357.4
30-11-2017,8479.06
29-12-2017,8450.28
31-01-2018,8458.72
28-02-2018,8292.14
30-03-2018,7945.83
30-04-2018,8372.34
31-05-2018,8081.29
29-06-2018,8306.34
31-07-2018,8285.71
31-08-2018,8479.68
28-09-2018,8125.87
31-10-2018,7657.53
30-11-2018,7414.43
31-12-2018,7729.61
31-01-2019,7946.48
28-02-2019,8217.57
29-03-2019,8346.01
30-04-2019,8698.63
31-05-2019,8277.42
28-06-2019,8673.2
31-07-2019,8467.42
30-08-2019,8261.21
30-09-2019,8277.02
31-10-2019,8537.22
29-11-2019,8383.89
31-12-2019,8660.66
31-01-2020,8513.94
28-02-2020,7748.7
31-03-2020,6808.89
30-04-2020,7760.73
29-05-2020,7784.45
30-06-2020,8387.09
31-07-2020,8601.49
31-08-2020,8579.34
30-09-2020,8443.38
30-10-2020,8044.39
30-11-2020,8890.15
31-12-2020,9266.78
29-01-2021,9749.19
26-02-2021,10321.44
31-03-2021,10484.62
30-04-2021,10585.88
31-05-2021,10751.35
30-06-2021,10489.74
30-07-2021,10928.71
31-08-2021,10738.31
30-09-2021,10401.57
29-10-2021,10937.47
30-11-2021,11426.32
31-12-2021,11975.25
