Date,Price
31-01-2013," 4,964.5 "
28-02-2013," 4,870.5 "
29-03-2013," 4,928.6 "
30-04-2013," 4,805.7 "
31-05-2013," 5,214.7 "
28-06-2013," 4,917.6 "
31-07-2013," 5,134.3 "
30-08-2013," 5,266.7 "
30-09-2013," 5,534.0 "
31-10-2013," 5,734.0 "
29-11-2013," 5,670.9 "
31-12-2013," 5,840.1 "
31-01-2014," 5,702.3 "
28-02-2014," 5,980.8 "
31-03-2014," 6,090.4 "
30-04-2014," 6,251.9 "
30-05-2014," 6,351.8 "
30-06-2014," 6,527.5 "
31-07-2014," 6,587.9 "
29-08-2014," 6,557.7 "
30-09-2014," 6,388.6 "
31-10-2014," 6,452.8 "
28-11-2014," 6,487.9 "
31-12-2014," 6,475.4 "
30-01-2015," 6,674.9 "
27-02-2015," 6,946.4 "
31-03-2015," 6,853.9 "
30-04-2015," 7,175.9 "
29-05-2015," 6,892.2 "
30-06-2015," 6,840.0 "
31-07-2015," 6,875.8 "
31-08-2015," 6,631.4 "
30-09-2015," 6,694.6 "
30-10-2015," 7,204.2 "
30-11-2015," 6,926.2 "
31-12-2015," 6,807.4 "
29-01-2016," 6,604.1 "
29-02-2016," 6,643.2 "
31-03-2016," 7,070.9 "
29-04-2016," 7,190.9 "
31-05-2016," 7,323.0 "
30-06-2016," 7,101.7 "
29-07-2016," 7,184.3 "
31-08-2016," 7,203.5 "
30-09-2016," 7,135.7 "
31-10-2016," 6,957.9 "
30-11-2016," 6,919.3 "
30-12-2016," 6,986.3 "
31-01-2017," 7,287.3 "
28-02-2017," 7,060.7 "
31-03-2017," 7,250.1 "
28-04-2017," 7,514.3 "
31-05-2017," 7,482.5 "
30-06-2017," 7,221.6 "
31-07-2017," 7,729.5 "
31-08-2017," 7,934.0 "
29-09-2017," 7,864.9 "
31-10-2017," 8,357.4 "
30-11-2017," 8,479.1 "
29-12-2017," 8,450.3 "
31-01-2018," 8,458.7 "
28-02-2018," 8,292.1 "
30-03-2018," 7,945.8 "
30-04-2018," 8,372.3 "
31-05-2018," 8,081.3 "
29-06-2018," 8,306.3 "
31-07-2018," 8,285.7 "
31-08-2018," 8,479.7 "
28-09-2018," 8,125.9 "
31-10-2018," 7,657.5 "
30-11-2018," 7,414.4 "
31-12-2018," 7,729.6 "
31-01-2019," 7,946.5 "
28-02-2019," 8,217.6 "
29-03-2019," 8,346.0 "
30-04-2019," 8,698.6 "
31-05-2019," 8,277.4 "
28-06-2019," 8,673.2 "
31-07-2019," 8,467.4 "
30-08-2019," 8,261.2 "
30-09-2019," 8,277.0 "
31-10-2019," 8,537.2 "
29-11-2019," 8,383.9 "
31-12-2019," 8,660.7 "
31-01-2020," 8,513.9 "
28-02-2020," 7,748.7 "
31-03-2020," 6,808.9 "
30-04-2020," 7,760.7 "
29-05-2020," 7,784.5 "
30-06-2020," 8,387.1 "
31-07-2020," 8,601.5 "
31-08-2020," 8,579.3 "
30-09-2020," 8,443.4 "
30-10-2020," 8,044.4 "
30-11-2020," 8,890.2 "
31-12-2020," 9,266.8 "
29-01-2021," 9,749.2 "
26-02-2021," 10,321.4 "
31-03-2021," 10,484.6 "
30-04-2021," 10,585.9 "
31-05-2021," 10,751.4 "
30-06-2021," 10,489.7 "
30-07-2021," 10,928.7 "
31-08-2021," 10,738.3 "
30-09-2021," 10,401.6 "
29-10-2021," 10,937.5 "
30-11-2021," 11,426.3 "
31-12-2021," 11,975.3 "
31-01-2022," 12,078.3 "
28-02-2022," 12,434.1 "
31-03-2022," 12,435.4 "
29-04-2022," 11,980.4 "
31-05-2022," 11,937.0 "
30-06-2022," 10,981.3 "
29-07-2022," 11,445.0 "
