Date,Price
31-01-2013,3.8
28-02-2013,-2.6
31-03-2013,-1.5
30-04-2013,7
31-05-2013,1.6
30-06-2013,0.2
31-07-2013,5.2
31-08-2013,0.6
30-09-2013,-2
31-10-2013,1.6
30-11-2013,-0.4
31-12-2013,3.5
31-01-2014,2.7
28-02-2014,2.2
31-03-2014,1.4
30-04-2014,-1.1
31-05-2014,-2.6
30-06-2014,1.2
31-07-2014,-7
31-08-2014,-2.3
30-09-2014,6.5
31-10-2014,1.8
30-11-2014,-1.9
31-12-2014,1.6
31-01-2015,-1.9
28-02-2015,0.9
31-03-2015,4.5
30-04-2015,-2.4
31-05-2015,-1.6
30-06-2015,-1
31-07-2015,4.5
31-08-2015,-0.1
30-09-2015,1.6
31-10-2015,-1.9
30-11-2015,-1.2
31-12-2015,-1.6
31-01-2016,-2.9
29-02-2016,1.8
31-03-2016,-2.6
30-04-2016,3.5
31-05-2016,3.6
30-06-2016,5.2
31-07-2016,0.2
31-08-2016,2.3
30-09-2016,0.5
31-10-2016,-3.2
30-11-2016,2
31-12-2016,-1.5
31-01-2017,1.1
28-02-2017,-4
31-03-2017,0
30-04-2017,-5.2
31-05-2017,-1.1
30-06-2017,-2.4
31-07-2017,-1.6
31-08-2017,1.3
30-09-2017,-2.2
31-10-2017,2
30-11-2017,1.7
31-12-2017,2.3
31-01-2018,1.6
28-02-2018,0.2
31-03-2018,-2.6
30-04-2018,1.5
31-05-2018,1.7
30-06-2018,0.4
31-07-2018,2.6
31-08-2018,1.5
30-09-2018,-0.5
31-10-2018,3.3
30-11-2018,1.1
31-12-2018,0.5
31-01-2019,1
28-02-2019,0.4
31-03-2019,2.3
30-04-2019,4.2
31-05-2019,0.2
30-06-2019,-4
31-07-2019,-1.4
31-08-2019,-1.3
30-09-2019,-2.2
31-10-2019,-0.6
30-11-2019,-3.7
31-12-2019,-7.4
31-01-2020,-2.7
29-02-2020,-2.6
31-03-2020,-6.7
30-04-2020,-53
31-05-2020,-34.3
30-06-2020,-14.3
31-07-2020,-10.3
31-08-2020,-11.8
30-09-2020,-3.2
31-10-2020,-5.2
30-11-2020,-5.7
31-12-2020,0.6
31-01-2021,-6.2
28-02-2021,-3.4
31-03-2021,4.8
30-04-2021,102.2
31-05-2021,37.2
30-06-2021,11.8
31-07-2021,-5
31-08-2021,1.6
30-09-2021,0.5
31-10-2021,-8.9
30-11-2021,0
31-12-2021,-0.7
31-01-2022,3.1
28-02-2022,1.8
31-03-2022,-0.1
30-04-2022,-7.6
31-05-2022,-2.3
