Date,Value
31-01-2013,107.03
28-02-2013,106.36
31-03-2013,105.1
30-04-2013,106.9
31-05-2013,104.89
30-06-2013,98.74
31-07-2013,101.65
31-08-2013,99.54
30-09-2013,100.52
31-10-2013,100.36
30-11-2013,98.73
31-12-2013,97.11
31-01-2014,93.26
28-02-2014,93.55
31-03-2014,96.28
30-04-2014,99.18
31-05-2014,100.69
30-06-2014,98.89
31-07-2014,99.89
31-08-2014,100.36
30-09-2014,99.73
31-10-2014,100.5
30-11-2014,102.35
31-12-2014,101.19
31-01-2015,101.76
28-02-2015,103.24
31-03-2015,102.2
30-04-2015,103.99
31-05-2015,103.35
30-06-2015,101.52
31-07-2015,102.4
31-08-2015,99.8
30-09-2015,96.21
31-10-2015,97.93
30-11-2015,96.08
31-12-2015,91.54
31-01-2016,85.42
29-02-2016,89.01
31-03-2016,90.26
30-04-2016,94.45
31-05-2016,90.23
30-06-2016,92.9
31-07-2016,98.99
31-08-2016,102.6
30-09-2016,100.26
31-10-2016,102.22
30-11-2016,104.1
31-12-2016,105.72
31-01-2017,106.2
28-02-2017,109.05
31-03-2017,110.6
30-04-2017,106.76
31-05-2017,107.89
30-06-2017,109.92
31-07-2017,107.38
31-08-2017,105
30-09-2017,105.41
31-10-2017,102.45
30-11-2017,99.96
31-12-2017,106.58
31-01-2018,112.71
28-02-2018,115.12
31-03-2018,114.33
30-04-2018,113.32
31-05-2018,111.72
30-06-2018,107.14
31-07-2018,108.15
31-08-2018,104.82
30-09-2018,100.59
31-10-2018,104.51
30-11-2018,108.88
31-12-2018,107.7
31-01-2019,109
28-02-2019,110.08
31-03-2019,106.05
30-04-2019,109.4
31-05-2019,108.67
30-06-2019,108.3
31-07-2019,112.21
31-08-2019,106.16
30-09-2019,109.27
31-10-2019,108.32
30-11-2019,108.51
31-12-2019,110.25
31-01-2020,110.34
29-02-2020,108.12
31-03-2020,98.85
30-04-2020,91.07
31-05-2020,92.87
30-06-2020,96.8
31-07-2020,98.43
31-08-2020,94.8
30-09-2020,97.64
31-10-2020,99.06
30-11-2020,104.03
31-12-2020,105.77
31-01-2021,103.94
28-02-2021,106.44
31-03-2021,105.1
30-04-2021,108.96
31-05-2021,109.31
30-06-2021,110.73
31-07-2021,107.08
31-08-2021,105.42
30-09-2021,106.91
31-10-2021,104.58
30-11-2021,101.73
31-12-2021,101.14
