Date,Price
31-01-2013,1.3579
28-02-2013,1.3057
29-03-2013,1.2819
30-04-2013,1.3168
31-05-2013,1.2999
28-06-2013,1.301
31-07-2013,1.3302
30-08-2013,1.3222
30-09-2013,1.3527
31-10-2013,1.3584
29-11-2013,1.3591
31-12-2013,1.3743
31-01-2014,1.3486
28-02-2014,1.3802
31-03-2014,1.3769
30-04-2014,1.3867
30-05-2014,1.3635
30-06-2014,1.3692
31-07-2014,1.339
29-08-2014,1.3132
30-09-2014,1.2631
31-10-2014,1.2525
28-11-2014,1.2452
31-12-2014,1.2098
30-01-2015,1.1291
27-02-2015,1.1196
31-03-2015,1.0731
30-04-2015,1.1224
29-05-2015,1.0986
30-06-2015,1.1147
31-07-2015,1.0984
31-08-2015,1.1211
30-09-2015,1.1177
30-10-2015,1.1006
30-11-2015,1.0565
31-12-2015,1.0862
29-01-2016,1.0831
29-02-2016,1.0873
31-03-2016,1.138
29-04-2016,1.1451
31-05-2016,1.1132
30-06-2016,1.1106
29-07-2016,1.1174
31-08-2016,1.1158
30-09-2016,1.1235
31-10-2016,1.0981
30-11-2016,1.0589
30-12-2016,1.0517
31-01-2017,1.0798
28-02-2017,1.0576
31-03-2017,1.0652
28-04-2017,1.0895
31-05-2017,1.1244
30-06-2017,1.1426
31-07-2017,1.1842
31-08-2017,1.191
29-09-2017,1.1814
31-10-2017,1.1646
30-11-2017,1.1904
29-12-2017,1.2005
31-01-2018,1.2414
28-02-2018,1.2194
30-03-2018,1.2324
30-04-2018,1.2078
31-05-2018,1.1693
29-06-2018,1.1684
31-07-2018,1.1691
31-08-2018,1.1602
28-09-2018,1.1604
31-10-2018,1.1312
30-11-2018,1.1317
31-12-2018,1.1467
31-01-2019,1.1448
28-02-2019,1.1371
29-03-2019,1.1218
30-04-2019,1.1215
31-05-2019,1.1169
28-06-2019,1.1373
31-07-2019,1.1076
30-08-2019,1.0982
30-09-2019,1.0899
31-10-2019,1.1152
29-11-2019,1.1018
31-12-2019,1.1213
31-01-2020,1.1093
28-02-2020,1.1026
31-03-2020,1.1031
30-04-2020,1.0955
29-05-2020,1.1101
30-06-2020,1.1234
31-07-2020,1.1778
31-08-2020,1.1936
30-09-2020,1.1721
30-10-2020,1.1647
30-11-2020,1.1927
31-12-2020,1.2216
29-01-2021,1.2136
26-02-2021,1.2075
31-03-2021,1.173
30-04-2021,1.202
31-05-2021,1.2227
30-06-2021,1.1858
30-07-2021,1.187
31-08-2021,1.1809
30-09-2021,1.158
29-10-2021,1.1558
30-11-2021,1.1338
31-12-2021,1.137
31-01-2022,1.1235
28-02-2022,1.1219
31-03-2022,1.1067
29-04-2022,1.0545
31-05-2022,1.0734
30-06-2022,1.0484
29-07-2022,1.022
