Date,Price
31-01-2013,8.9559
28-02-2013,9.0246
29-03-2013,9.2362
30-04-2013,8.9682
31-05-2013,10.0915
28-06-2013,9.8806
31-07-2013,9.8768
30-08-2013,10.2799
30-09-2013,10.0278
31-10-2013,10.0467
29-11-2013,10.1742
31-12-2013,10.4926
31-01-2014,11.1206
28-02-2014,10.7551
31-03-2014,10.5319
30-04-2014,10.5224
30-05-2014,10.5723
30-06-2014,10.6375
31-07-2014,10.7073
29-08-2014,10.6666
30-09-2014,11.2853
31-10-2014,11.0395
28-11-2014,11.0629
31-12-2014,11.5706
30-01-2015,11.6476
27-02-2015,11.6585
31-03-2015,12.1321
30-04-2015,11.9107
29-05-2015,12.1525
30-06-2015,12.1688
31-07-2015,12.6808
31-08-2015,13.2799
30-09-2015,13.8549
30-10-2015,13.8224
30-11-2015,14.448
31-12-2015,15.4685
29-01-2016,15.8907
29-02-2016,15.8715
31-03-2016,14.7673
29-04-2016,14.2302
31-05-2016,15.7086
30-06-2016,14.7266
29-07-2016,13.8787
31-08-2016,14.7313
30-09-2016,13.7225
31-10-2016,13.4741
30-11-2016,14.094
30-12-2016,13.7401
31-01-2017,13.4753
28-02-2017,13.1285
31-03-2017,13.4136
28-04-2017,13.3701
31-05-2017,13.1179
30-06-2017,13.0744
31-07-2017,13.1859
31-08-2017,13.0032
29-09-2017,13.559
31-10-2017,14.1272
30-11-2017,13.6981
29-12-2017,12.3828
31-01-2018,11.8514
28-02-2018,11.7957
30-03-2018,11.8408
30-04-2018,12.4608
31-05-2018,12.6993
29-06-2018,13.725
31-07-2018,13.275
31-08-2018,14.6887
28-09-2018,14.1415
31-10-2018,14.7864
30-11-2018,13.8699
31-12-2018,14.3467
31-01-2019,13.2542
28-02-2019,14.0849
29-03-2019,14.5012
30-04-2019,14.2986
31-05-2019,14.5803
28-06-2019,14.0869
31-07-2019,14.3429
30-08-2019,15.1954
30-09-2019,15.1363
31-10-2019,15.1008
29-11-2019,14.6706
31-12-2019,14
31-01-2020,15.0282
28-02-2020,15.6609
31-03-2020,17.8379
30-04-2020,18.5264
29-05-2020,17.5465
30-06-2020,17.3512
31-07-2020,17.0718
31-08-2020,16.9416
30-09-2020,16.7484
30-10-2020,16.2439
30-11-2020,15.4681
31-12-2020,14.6947
29-01-2021,15.1609
26-02-2021,15.1204
31-03-2021,14.7759
30-04-2021,14.495
31-05-2021,13.7373
30-06-2021,14.2854
30-07-2021,14.6019
31-08-2021,14.5242
30-09-2021,15.0683
29-10-2021,15.2412
30-11-2021,15.8859
31-12-2021,15.9372
31-01-2022,15.3866
28-02-2022,15.3756
31-03-2022,14.6115
29-04-2022,15.7892
31-05-2022,15.6405
30-06-2022,16.2782
29-07-2022,16.6237
